filename,mean_grain_diameter_px,grain_count
images(280).jpg,252.38,1
images(281).jpg,15.58,13
images(282).jpg,105.02,2
images(283).jpg,32.1,8
images(284).jpg,14.35,35
images(285).jpg,10.4,18
images(286).jpg,251.23,1
images(287).jpg,12.74,31
images(288).jpg,12.48,21
images(289).jpg,8.45,77
images(29).jpg,20.06,22
images(290).jpg,16.77,11
images(291).jpg,121.94,2
images(292).jpg,12.83,27
images(293).jpg,22.43,10
images(294).jpg,248.26,1
images(295).jpg,15.66,28
images(297).jpg,16.48,18
images(298).jpg,247.18,1
images(299).jpg,11.22,18
images(3).jpg,111.7,1
images(30).jpg,57.84,9
images(300).jpg,27.02,9
images(301).jpg,30.06,8
images(302).jpg,251.08,1
images(303).jpg,251.79,1
images(305).jpg,124.25,2
images(306).jpg,26.67,9
images(307).jpg,20.04,16
images(308).jpg,24.93,16
images(309).jpg,88.91,2
images(31).jpg,21.65,3
images(310).jpg,23.36,12
images(311).jpg,32.41,9
images(312).jpg,18.84,17
images(313).jpg,11.11,33
images(314).jpg,248.64,1
images(315).jpg,0,0
images(316).jpg,37.21,7
images(317).jpg,249.68,1
images(318).jpg,26.84,7
images(319).jpg,15.96,26
images(32).jpg,17.86,17
images(320).jpg,251.98,1
images(324).jpg,38.96,15
images(326).jpg,9.73,65
images(327).jpg,41.79,11
images(328).jpg,17.5,22
images(329).jpg,16.34,8
images(33).jpg,102.48,1
images(331).jpg,14.5,30
images(332).jpg,22.65,9
images(333).jpg,12.18,20
images(334).jpg,8.85,59
images(335).jpg,8.02,47
images(336).jpg,20.88,23
images(337).jpg,112.65,2
images(338).jpg,21.35,19
images(339).jpg,43.69,6
images(34).jpg,28.46,13
images(340).jpg,11.68,20
images(341).jpg,12.82,35
images(342).jpg,61.9,4
images(343).jpg,31.09,14
images(344).jpg,23.63,21
images(345).jpg,249.34,1
images(346).jpg,195.89,1
images(348).jpg,27.06,6
images(35).jpg,15.12,20
images(353).jpg,105.21,2
images(354).jpg,17.64,17
images(355).jpg,32.56,11
images(356).jpg,71.66,3
images(357).jpg,16.43,16
images(358).jpg,19.07,19
images(359).jpg,24.28,19
images(36).jpg,252.05,1
images(360).jpg,24.33,11
images(362).jpg,21.88,9
images(363).jpg,22.39,19
images(364).jpg,30.51,8
images(365).jpg,120.49,2
images(366).jpg,22.29,14
images(367).jpg,12.81,37
images(368).jpg,20.33,14
