filename,mean_grain_diameter_px,grain_count
4.jpg,15.35,63
40.jpg,30.39,16
41.jpg,19.69,23
42.jpg,16.05,118
43.jpg,103.33,6
44.jpg,27.93,25
45.jpg,281.45,2
46.jpg,10.38,199
47.jpg,10.38,199
48.jpg,10.38,199
49.jpg,13.25,140
5.png,8.97,135
50.jpg,22.53,38
51.jpg,11.77,160
52.jpg,72.0,7
53.jpg,16.56,48
54.jpg,14.31,92
55.jpg,32.52,30
56.jpg,40.06,17
57.jpg,16.52,64
58.jpg,9.95,213
59.jpg,14.79,137
6.jpg,10.86,167
60.jpg,15.64,65
61.jpg,14.77,29
62.jpg,562.69,1
63.jpg,59.08,11
64.jpg,14.78,105
65.jpg,10.24,143
66.jpg,14.06,126
67.jpg,21.66,41
68.jpg,28.74,13
69.jpg,15.22,64
7.jpeg,44.64,7
70.jpg,11.82,139
71.jpg,0,0
72.jpg,10.52,230
73.jpg,14.46,146
74.jpg,14.46,146
75.jpg,14.46,146
76.jpg,12.54,100
77.jpg,274.75,1
78.jpg,16.58,40
79.jpg,11.9,22
8.jpg,10.7,519
80.jpg,13.81,61
81.jpg,9.68,134
82.jpg,11.13,35
83.jpg,15.2,17
84.jpg,21.93,42
85.jpg,10.1,255
86.jpg,13.08,92
87.jpg,12.74,50
88.jpg,21.6,50
89.jpg,20.08,43
9.jpg,7.85,385
90.jpg,140.4,5
91.jpg,14.79,114
92.jpg,9.74,124
93.jpg,15.01,61
94.jpg,48.11,11
95.jpg,18.98,89
96.jpg,13.0,95
97.jpg,18.57,41
98.jpg,15.31,64
99.jpg,12.35,238
