filename,mean_grain_diameter_px,grain_count
1 (569).jpg,111.71,1
1 (570).jpg,16.23,6
1 (571).jpg,102.11,1
1 (572).jpg,27.21,4
1 (573).jpg,8.18,13
1 (574).jpg,25.54,18
1 (575).jpg,21.57,2
1 (576).jpg,16.59,35
1 (577).jpg,12.22,9
1 (578).jpg,29.65,10
1 (579).jpg,251.94,1
1 (580).jpg,19.58,17
1 (581).jpg,0,0
1 (582).jpg,250.29,1
1 (583).jpg,30.02,8
1 (584).jpg,7.17,18
1 (585).jpg,16.42,6
1 (586).jpg,39.29,1
1 (587).jpg,0,0
1 (588).jpg,252.76,1
1 (589).jpg,32.39,8
1 (590).jpg,251.79,1
1 (591).jpg,18.31,17
1 (592).jpg,251.98,1
1 (593).jpg,7.62,2
1 (594).jpg,14.78,8
1 (595).jpg,14.59,23
1 (596).jpg,63.21,1
1 (597).jpg,89.37,1
1 (598).jpg,36.65,4
1 (599).jpg,37.07,8
1 (6).jpg,37.44,1
1 (600).jpg,252.11,1
1 (601).jpg,10.78,27
1 (602).jpg,11.08,12
1 (603).jpg,23.62,2
1 (604).jpg,46.56,6
1 (605).jpg,7.82,22
1 (606).jpg,18.88,15
1 (607).jpg,9.31,77
1 (608).jpg,252.03,1
1 (609).jpg,9.04,26
1 (610).jpg,17.75,12
1 (611).jpg,22.08,12
1 (612).jpg,11.3,35
1 (613).jpg,43.79,5
1 (614).jpg,251.63,1
1 (615).jpg,16.65,18
1 (616).jpg,14.09,30
1 (617).jpg,19.3,14
1 (618).jpg,11.15,4
1 (7).jpg,0,0
1 (8).jpg,5.03,3
1 (9).jpg,251.79,1
15169970468_ef3c6b5bff_b.jpg,943.2,1
1655-Ahola-dolomite-marble-8-cm.jpg,8.8,544
1757-marble-calcite-Leivset-19-cm.jpg,6.57,64
31e2cae7a399bd4322fc2f0a8351995e.jpg,12.48,73
bflnze7yaaqme5qkgdqc_b5de349d-b6be-48ce-a108-0ede8f2a8b4c_915x700.jpg,12.35,48
"e9445d48-36f0-4ecf-b097-96ed445a9f74.__CR255,99,3210,1985_PT0_SX970_V1___.jpg",0,0
f25410f4f2fe80400d6f95a9a534d1b8.jpg,9.26,12
istockphoto-1002671368-612x612.jpg,10.17,63
istockphoto-1022140840-612x612.jpg,28.08,6
istockphoto-1022140854-612x612.jpg,14.61,18
istockphoto-1022140856-612x612.jpg,23.43,11
istockphoto-1030995030-612x612.jpg,22.58,24
istockphoto-1040347728-612x612.jpg,0,0
istockphoto-1043676632-612x612.jpg,12.83,60
istockphoto-1049711572-612x612.jpg,11.01,11
istockphoto-1078006654-612x612.jpg,25.3,22
istockphoto-1089481820-612x612.jpg,11.18,8
istockphoto-1097421014-612x612.jpg,23.51,34
istockphoto-1124987135-612x612.jpg,30.36,28
istockphoto-1125425397-612x612.jpg,6.15,10
istockphoto-1126972775-612x612.jpg,12.49,119
istockphoto-1132036755-612x612.jpg,16.57,107
istockphoto-116125011-612x612.jpg,21.69,34
istockphoto-1161379400-612x612.jpg,15.56,34
istockphoto-1161379462-612x612.jpg,29.56,17
istockphoto-116188290-612x612.jpg,16.38,51
istockphoto-1162414197-612x612.jpg,103.25,6
istockphoto-1167831985-612x612.jpg,24.16,22
istockphoto-1169370453-612x612.jpg,689.44,1
istockphoto-1172079174-612x612.jpg,34.48,18
istockphoto-1173084355-612x612.jpg,31.34,33
istockphoto-1173337113-612x612.jpg,16.43,45
istockphoto-1174840718-612x612.jpg,20.33,2
istockphoto-1178410349-612x612.jpg,19.46,88
istockphoto-1182072248-612x612.jpg,0,0
istockphoto-1185894713-612x612.jpg,0,0
istockphoto-1186790561-612x612.jpg,7.83,16
istockphoto-1187562031-612x612.jpg,15.24,34
istockphoto-1194236031-612x612.jpg,54.32,12
istockphoto-1194236642-612x612.jpg,516.56,1
istockphoto-1194297497-612x612.jpg,26.01,3
istockphoto-1195174656-612x612.jpg,19.03,41
istockphoto-1197424395-612x612.jpg,596.91,1
istockphoto-1201821562-612x612.jpg,7.7,68
istockphoto-1207160907-612x612.jpg,12.32,118
istockphoto-1207543738-612x612.jpg,7.16,21
istockphoto-1212854544-612x612.jpg,12.32,132
istockphoto-1212981210-612x612.jpg,12.61,68
istockphoto-1213873924-612x612.jpg,6.48,6
istockphoto-1226893929-612x612.jpg,21.53,11
istockphoto-1250967782-612x612.jpg,42.44,10
istockphoto-125913888-612x612.jpg,8.54,10
istockphoto-1269930537-612x612.jpg,36.44,22
istockphoto-1283499830-612x612.jpg,101.76,2
istockphoto-1289284267-612x612.jpg,12.92,84
istockphoto-132055060-612x612.jpg,44.83,11
istockphoto-136979336-612x612.jpg,561.22,1
istockphoto-160185822-612x612.jpg,19.08,83
istockphoto-164901147-612x612.jpg,20.19,32
istockphoto-174823235-612x612.jpg,9.77,74
istockphoto-175255333-612x612.jpg,0,0
istockphoto-182148999-612x612.jpg,18.32,10
istockphoto-183755373-612x612.jpg,15.85,2
istockphoto-184592313-612x612.jpg,11.37,67
istockphoto-476416199-612x612.jpg,15.16,42
istockphoto-477628714-612x612.jpg,9.45,155
istockphoto-482566421-612x612.jpg,9.92,149
istockphoto-484343309-612x612.jpg,39.28,16
istockphoto-489869682-612x612.jpg,15.56,48
istockphoto-494347833-612x612.jpg,554.94,1
istockphoto-497903898-612x612.jpg,16.86,70
istockphoto-502976396-612x612.jpg,45.04,16
istockphoto-509006947-612x612.jpg,90.89,8
istockphoto-521027443-612x612.jpg,18.22,47
istockphoto-521072811-612x612.jpg,12.69,51
istockphoto-530863591-612x612.jpg,15.75,16
istockphoto-530873807-612x612.jpg,14.31,39
istockphoto-532448735-612x612.jpg,16.29,5
istockphoto-591405034-612x612.jpg,6.42,42
istockphoto-596802498-612x612.jpg,21.68,7
istockphoto-619512250-612x612.jpg,0,0
istockphoto-625332712-612x612.jpg,19.71,1
istockphoto-660591162-612x612.jpg,29.43,32
istockphoto-675540094-612x612.jpg,24.03,5
istockphoto-677811978-612x612.jpg,11.96,105
istockphoto-686552998-612x612.jpg,12.5,128
istockphoto-689288296-612x612.jpg,21.17,18
istockphoto-693871142-612x612.jpg,88.01,6
istockphoto-694142286-612x612.jpg,28.42,28
istockphoto-878788946-612x612.jpg,589.04,1
istockphoto-89088931-612x612.jpg,0,0
istockphoto-897447204-612x612.jpg,26.57,2
istockphoto-92256869-612x612.jpg,25.47,36
istockphoto-939752264-612x612.jpg,32.18,19
istockphoto-945040766-612x612.jpg,29.27,22
macro-shooting-of-metamorphic-rock-specimens-piece-of-white-marble-GRAB0R.jpg,131.1,3
marbldolo1-1295.jpg,21.65,16
Marble Madoc01.jpg,13.74,388
Marble-084-RD010-C-SH_nltxub.jpg,14.8,260
marble-941374788-5b16eaa4fa6bcc00369692c7.jpg,9.74,49
Marble-from-Fauske.jpg,9.41,67
marble-with-ruby.jpg,25.56,7
marble.jpg,10.26,38
marble2020(6).jpg,0,0
marble2020(7).jpg,9.99,191
marble3.jpg,13.54,47
MarbleGrayBanded.jpg,11.75,103
MarbleWhite.jpg,634.37,1
marbwht1-897.jpg,40.73,6
p.482.1-white_marble_metamorphic_rock.jpg,35.49,9
pink-marble.jpg,12.29,54
raw-marble-rock-cutout-white-background-172494727.jpg,11.29,71
raw-marble-rock-isolated-white-closeup-sample-natural-mineral-geological-collection-background-170796580.jpg,28.82,20
rock-kit.jpg,346.64,1
s-l400.jpg,49.79,11
White-Marble-Metamorphic-Rock.jpg,12.64,58
