filename,mean_grain_diameter_px,grain_count
337.jpg,16.61,14
338.jpg,231.72,1
339.jpg,30.63,15
34.jpg,99.72,2
340.jpg,18.37,15
341.jpg,256.03,1
342.jpg,39.39,16
343.jpg,145.04,1
344.jpg,133.55,1
345.jpg,27.77,8
346.jpg,145.12,1
347.jpg,207.26,1
348.jpg,207.26,1
349.jpg,104.79,2
35.jpg,351.22,1
350.jpg,94.67,2
351.jpg,119.8,2
352.jpg,187.29,1
353.jpg,352.58,1
354.jpg,118.59,2
355.jpg,40.56,11
356.jpg,1171.51,1
357.jpg,287.7,1
358.jpg,234.42,1
359.jpg,211.94,1
36.jpg,35.97,8
360.jpg,183.92,1
361.jpg,73.29,13
362.jpg,55.74,9
363.jpg,59.15,10
364.jpg,131.63,3
365.jpg,40.66,16
366.jpg,163.62,4
367.jpg,324.11,1
368.jpg,340.19,1
369.jpg,23.79,13
37.jpg,29.55,10
370.jpg,332.53,1
371.jpg,86.7,4
38.jpg,34.01,11
39.jpg,67.03,5
4.jpg,146.41,2
40.jpg,42.65,13
41.jpg,22.63,45
42.jpg,237.96,1
43.jpg,30.22,16
44.jpg,234.36,1
46.jpg,32.2,16
47.jpg,21.94,22
48.jpg,9.1,45
49.jpg,9.87,35
5.jpg,160.95,1
50.jpg,168.94,4
51.jpg,665.03,1
52.jpg,179.83,2
53.jpg,73.59,5
54.jpg,73.06,5
55.jpg,18.09,30
56.jpg,91.15,4
57.jpg,352.58,1
58.jpg,352.58,1
59.jpg,91.13,13
6.jpg,286.0,1
60.jpg,412.67,1
61.jpg,43.92,33
62.jpg,87.41,29
63.jpg,291.16,1
64.jpg,227.93,1
65.jpg,80.73,3
66.jpg,201.11,1
67.jpg,1219.73,2
68.jpg,265.13,1
69.jpg,434.94,4
7.jpg,35.92,8
70.jpg,239.17,5
71.jpg,26.07,7
72.jpg,19.99,21
73.jpg,47.08,5
74.jpg,27.53,42
75.jpg,104.09,6
76.jpg,46.93,24
77.jpg,245.36,1
78.jpg,252.98,1
79.jpg,65.03,4
8.jpg,718.44,1
80.jpg,46.56,4
81.jpg,79.52,4
82.jpg,248.64,1
83.jpg,204.26,1
84.jpg,196.48,1
85.jpg,126.2,1
86.jpg,218.95,1
87.jpg,242.07,1
88.jpg,213.08,1
89.jpg,16.51,12
9.jpg,1105.74,1
90.jpg,61.42,3
91.jpg,240.86,1
92.jpg,92.65,2
93.jpg,55.0,4
94.jpg,176.4,1
95.jpg,287.7,1
96.jpg,209.16,1
97.jpg,340.6,1
98.jpg,87.04,6
99.jpg,975.66,1
