filename,mean_grain_diameter_px,grain_count
47.jpg,50.16,12
48.jpg,16.8,69
49.jpg,19.31,52
5.jpg,9.98,253
50.jpg,12.48,40
51.jpg,27.03,29
52.jpg,20.23,28
53.jpg,14.7,67
54.jpg,9.77,39
55.jpg,11.97,139
56.jpg,47.05,17
57.jpg,39.9,15
58.jpg,9.7,671
59.jpg,44.68,13
6.jpg,12.93,79
60.jpg,32.72,21
61.jpg,562.69,1
62.jpg,15.07,82
63.jpg,20.94,40
64.jpg,23.78,53
65.jpg,16.09,96
66.jpg,25.84,28
67.jpg,17.61,82
68.jpg,14.85,56
69.jpg,8.67,276
7.jpg,10.55,272
70.jpg,20.24,49
71.jpg,20.55,30
72.jpg,25.2,47
73.jpg,15.95,77
74.jpg,13.37,76
75.jpg,80.0,8
76.jpg,22.39,49
77.jpg,10.35,129
78.jpg,27.44,26
79.jpg,33.48,23
8.jpg,7.36,36
80.jpg,18.87,54
81.jpg,12.28,144
82.jpg,17.17,96
83.jpg,9.32,63
84.jpg,39.78,11
85.jpg,41.47,16
86.jpg,35.38,19
87.jpg,18.6,48
88.jpg,25.11,31
89.jpg,69.99,10
9.jpg,8.28,55
90.jpg,97.91,6
91.jpg,11.43,149
92.jpg,192.24,3
93.jpg,103.65,6
94.jpg,36.46,16
95.jpg,19.58,59
96.jpg,34.6,22
97.jpg,47.88,13
98.jpg,293.1,1
99.jpg,26.62,20
