filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
images(14).jpg,72.72,2,"gray, black, gray","gray: 31.6%, black: 21.2%, gray: 20.9%"
images(140).jpg,50.58,4,"white, gray, gray","white: 40.9%, gray: 16.8%, gray: 15.5%"
images(141).jpg,249.51,1,"gray, gray, gray","gray: 60.2%, gray: 15.1%, gray: 12.4%"
images(142).jpg,45.18,6,"brown, gray, black","brown: 33.1%, gray: 25.6%, black: 18.8%"
images(143).jpg,118.02,2,"gray, gray, white","gray: 27.7%, gray: 26.4%, white: 18.3%"
images(144).jpg,25.62,6,"gray, gray, black","gray: 37.5%, gray: 34.2%, black: 9.8%"
images(145).jpg,20.18,18,"gray, gray, gray","gray: 29.9%, gray: 27.7%, gray: 20.3%"
images(146).jpg,12.89,42,"gray, gray, brown","gray: 38.6%, gray: 24.6%, brown: 20.0%"
images(147).jpg,19.33,19,"gray, gray, gray","gray: 34.5%, gray: 26.6%, gray: 24.8%"
images(148).jpg,15.54,17,"white, gray, gray","white: 38.7%, gray: 20.8%, gray: 17.1%"
images(149).jpg,25.54,10,"gray, gray, brown","gray: 27.4%, gray: 24.0%, brown: 21.6%"
images(15).jpg,9.25,35,"gray, gray, gray","gray: 30.2%, gray: 26.6%, gray: 21.2%"
images(150).jpg,28.83,12,"gray, gray, brown","gray: 35.6%, gray: 23.3%, brown: 20.9%"
images(151).jpg,14.55,18,"gray, gray, black","gray: 26.5%, gray: 22.9%, black: 21.8%"
images(152).jpg,251.66,1,"black, gray, gray","black: 45.2%, gray: 20.8%, gray: 15.7%"
images(153).jpg,38.28,6,"gray, white, gray","gray: 27.8%, white: 24.7%, gray: 18.8%"
images(154).jpg,82.98,3,"gray, gray, black","gray: 31.2%, gray: 29.2%, black: 19.1%"
images(155).jpg,26.39,12,"white, gray, gray","white: 26.0%, gray: 24.8%, gray: 18.0%"
images(156).jpg,38.43,9,"gray, gray, gray","gray: 27.4%, gray: 23.3%, gray: 22.2%"
images(157).jpg,80.97,3,"gray, black, gray","gray: 31.6%, black: 24.4%, gray: 18.4%"
images(158).jpg,14.47,26,"gray, gray, brown","gray: 29.1%, gray: 25.2%, brown: 16.8%"
images(159).jpg,28.48,9,"gray, brown, gray","gray: 27.3%, brown: 24.9%, gray: 21.7%"
images(16).jpg,17.25,6,"white, gray, gray","white: 71.9%, gray: 10.0%, gray: 9.5%"
images(160).jpg,31.56,6,"white, gray, brown","white: 71.5%, gray: 11.4%, brown: 6.8%"
images(161).jpg,20.16,11,"gray, white, gray","gray: 25.4%, white: 24.5%, gray: 21.0%"
images(162).jpg,10.14,15,"white, white, gray","white: 42.7%, white: 22.5%, gray: 20.5%"
images(163).jpg,18.5,25,"gray, gray, brown","gray: 28.6%, gray: 21.4%, brown: 21.0%"
images(164).jpg,29.61,9,"gray, gray, gray","gray: 25.3%, gray: 25.3%, gray: 23.1%"
images(165).jpg,31.42,4,"white, gray, navy","white: 56.9%, gray: 18.4%, navy: 9.8%"
images(166).jpg,10.31,9,"white, gray, gray","white: 81.0%, gray: 8.4%, gray: 6.4%"
images(167).jpg,13.07,17,"white, gray, gray","white: 35.7%, gray: 19.8%, gray: 16.2%"
images(168).jpg,196.35,1,"brown, white, gray","brown: 36.6%, white: 20.8%, gray: 15.4%"
images(169).jpg,13.72,22,"white, gray, gray","white: 26.7%, gray: 25.5%, gray: 20.3%"
images(17).jpg,252.63,1,"gray, gray, gray","gray: 53.1%, gray: 23.8%, gray: 12.1%"
images(170).jpg,12.45,47,"gray, gray, white","gray: 29.9%, gray: 24.0%, white: 23.6%"
images(171).jpg,22.59,18,"gray, gray, gray","gray: 28.7%, gray: 28.3%, gray: 15.3%"
images(172).jpg,23.19,14,"gray, gray, gray","gray: 26.1%, gray: 24.6%, gray: 21.4%"
images(173).jpg,251.98,1,"black, gray, gray","black: 37.3%, gray: 19.2%, gray: 18.8%"
images(174).jpg,52.32,5,"gray, gray, gray","gray: 30.4%, gray: 30.3%, gray: 18.1%"
images(175).jpg,31.6,12,"gray, gray, gray","gray: 28.6%, gray: 24.8%, gray: 19.5%"
images(176).jpg,12.65,27,"gray, brown, gray","gray: 27.2%, brown: 23.8%, gray: 22.9%"
images(177).jpg,24.97,17,"gray, white, gray","gray: 23.3%, white: 23.2%, gray: 19.3%"
images(178).jpg,33.22,8,"gray, gray, black","gray: 30.7%, gray: 29.1%, black: 16.2%"
images(179).jpg,25.03,14,"gray, gray, gray","gray: 24.5%, gray: 24.1%, gray: 21.2%"
images(18).jpg,16.23,6,"gray, gray, gray","gray: 33.2%, gray: 23.9%, gray: 22.6%"
images(180).jpg,6.73,23,"white, white, gray","white: 40.2%, white: 29.0%, gray: 18.1%"
images(181).jpg,9.49,41,"gray, white, gray","gray: 36.2%, white: 24.5%, gray: 22.5%"
images(182).jpg,40.23,5,"gray, gray, gray","gray: 31.2%, gray: 22.1%, gray: 21.0%"
images(183).jpg,11.52,43,"gray, gray, gray","gray: 34.4%, gray: 26.5%, gray: 18.9%"
images(185).jpg,10.7,35,"white, gray, gray","white: 31.0%, gray: 26.9%, gray: 22.9%"
images(186).jpg,15.29,30,"gray, gray, gray","gray: 28.8%, gray: 25.8%, gray: 18.4%"
images(187).jpg,7.41,34,"gray, orange, gray","gray: 34.5%, orange: 26.0%, gray: 15.9%"
images(188).jpg,40.81,6,"maroon, brown, gray","maroon: 27.4%, brown: 26.0%, gray: 18.9%"
images(189).jpg,22.99,10,"gray, gray, gray","gray: 31.5%, gray: 26.0%, gray: 19.2%"
images(19).jpg,36.65,4,"white, navy, black","white: 28.2%, navy: 21.9%, black: 20.6%"
images(190).jpg,163.62,1,"white, black, white","white: 36.9%, black: 26.5%, white: 19.2%"
images(191).jpg,10.82,35,"gray, gray, gray","gray: 36.6%, gray: 30.8%, gray: 21.6%"
images(192).jpg,51.17,5,"brown, gray, black","brown: 29.7%, gray: 25.5%, black: 15.7%"
images(193).jpg,31.89,8,"gray, gray, brown","gray: 23.9%, gray: 23.1%, brown: 22.4%"
images(194).jpg,23.06,13,"gray, gray, gray","gray: 26.6%, gray: 26.0%, gray: 21.8%"
images(195).jpg,26.97,14,"gray, gray, gray","gray: 27.8%, gray: 23.0%, gray: 19.8%"
images(196).jpg,11.43,38,"gray, gray, black","gray: 61.0%, gray: 28.6%, black: 6.2%"
images(197).jpg,20.82,11,"gray, gray, black","gray: 27.0%, gray: 26.4%, black: 22.0%"
images(198).jpg,11.96,42,"gray, gray, gray","gray: 29.3%, gray: 28.4%, gray: 22.4%"
images(199).jpg,13.31,44,"white, gray, gray","white: 41.3%, gray: 17.4%, gray: 16.4%"
images(2).jpg,13.55,9,"gray, gray, gray","gray: 29.7%, gray: 20.0%, gray: 17.2%"
images(20).jpg,22.26,5,"gray, gray, gray","gray: 24.6%, gray: 23.2%, gray: 21.0%"
images(200).jpg,13.69,11,"white, gray, yellow","white: 55.4%, gray: 22.5%, yellow: 11.1%"
images(201).jpg,12.87,26,"white, gray, gray","white: 41.2%, gray: 19.0%, gray: 15.8%"
images(202).jpg,27.28,8,"white, gray, gray","white: 37.7%, gray: 23.1%, gray: 19.1%"
images(203).jpg,3.57,1,"white, gray, gray","white: 73.6%, gray: 8.6%, gray: 7.2%"
images(204).jpg,13.14,46,"gray, gray, gray","gray: 30.0%, gray: 27.6%, gray: 20.6%"
images(205).jpg,125.98,2,"brown, gray, gray","brown: 29.5%, gray: 23.5%, gray: 19.2%"
images(206).jpg,17.87,28,"gray, gray, gray","gray: 29.8%, gray: 25.1%, gray: 23.0%"
images(207).jpg,178.97,1,"white, gray, gray","white: 40.0%, gray: 26.6%, gray: 19.6%"
images(208).jpg,24.95,11,"brown, black, gray","brown: 27.1%, black: 26.9%, gray: 20.7%"
images(209).jpg,20.61,17,"gray, gray, brown","gray: 26.1%, gray: 20.9%, brown: 19.2%"
images(21).jpg,16.73,31,"white, gray, gray","white: 39.4%, gray: 19.8%, gray: 15.1%"
images(210).jpg,18.11,11,"white, gray, gray","white: 36.7%, gray: 30.1%, gray: 12.5%"
images(211).jpg,23.38,17,"white, gray, gray","white: 28.0%, gray: 22.2%, gray: 21.0%"
images(212).jpg,14.38,31,"gray, white, gray","gray: 28.4%, white: 21.9%, gray: 20.1%"
images(213).jpg,104.96,1,"white, gray, gray","white: 80.6%, gray: 9.2%, gray: 5.4%"
images(214).jpg,14.93,6,"white, gray, gray","white: 31.8%, gray: 31.2%, gray: 25.9%"
images(215).jpg,76.21,2,"white, gray, white","white: 67.7%, gray: 12.0%, white: 11.6%"
images(216).jpg,79.77,3,"white, white, brown","white: 37.2%, white: 28.2%, brown: 15.9%"
images(217).jpg,34.68,7,"white, gray, brown","white: 31.3%, gray: 24.8%, brown: 21.6%"
images(218).jpg,81.24,3,"gray, gray, brown","gray: 27.5%, gray: 25.7%, brown: 17.4%"
images(219).jpg,18.53,16,"gray, gray, gray","gray: 26.1%, gray: 22.9%, gray: 20.9%"
images(22).jpg,10.58,5,"white, gray, gray","white: 61.5%, gray: 19.4%, gray: 12.3%"
images(220).jpg,31.82,5,"white, white, gray","white: 36.3%, white: 34.1%, gray: 15.2%"
images(221).jpg,9.61,15,"white, gray, gray","white: 70.6%, gray: 10.1%, gray: 8.2%"
images(222).jpg,246.98,1,"gray, gray, maroon","gray: 29.4%, gray: 24.4%, maroon: 23.8%"
images(223).jpg,224.64,1,"black, white, gray","black: 44.5%, white: 25.9%, gray: 20.2%"
images(224).jpg,9.01,53,"gray, gray, gray","gray: 25.6%, gray: 22.9%, gray: 22.3%"
images(225).jpg,83.93,3,"gray, gray, gray","gray: 28.9%, gray: 24.7%, gray: 21.8%"
images(226).jpg,25.99,8,"white, gray, gray","white: 34.8%, gray: 20.0%, gray: 19.0%"
images(227).jpg,18.77,14,"gray, gray, gray","gray: 27.6%, gray: 21.9%, gray: 21.2%"
images(228).jpg,151.79,1,"white, gray, brown","white: 56.8%, gray: 20.2%, brown: 15.2%"
images(229).jpg,83.14,3,"gray, gray, gray","gray: 25.1%, gray: 24.3%, gray: 22.8%"
images(23).jpg,7.79,23,"white, gray, gray","white: 66.2%, gray: 11.0%, gray: 10.7%"
images(230).jpg,16.33,18,"gray, gray, gray","gray: 24.2%, gray: 22.4%, gray: 21.4%"
images(231).jpg,40.69,9,"gray, white, black","gray: 33.0%, white: 19.9%, black: 19.4%"
images(232).jpg,50.83,5,"gray, brown, gray","gray: 34.4%, brown: 24.2%, gray: 21.9%"
images(233).jpg,28.63,13,"gray, gray, gray","gray: 34.5%, gray: 19.0%, gray: 18.9%"
images(234).jpg,36.66,10,"black, gray, gray","black: 33.1%, gray: 24.1%, gray: 16.9%"
images(235).jpg,39.18,8,"white, brown, gray","white: 28.7%, brown: 22.6%, gray: 22.1%"
images(236).jpg,24.75,4,"white, gray, white","white: 61.4%, gray: 18.3%, white: 12.8%"
images(237).jpg,26.53,7,"white, gray, gray","white: 33.0%, gray: 23.7%, gray: 19.8%"
images(238).jpg,12.18,32,"orange, brown, gray","orange: 37.0%, brown: 36.2%, gray: 9.3%"
images(239).jpg,28.22,13,"black, white, gray","black: 25.5%, white: 25.0%, gray: 20.4%"
images(24).jpg,11.62,18,"white, gray, gray","white: 53.5%, gray: 17.5%, gray: 10.7%"
images(240).jpg,16.11,32,"white, gray, gray","white: 28.1%, gray: 24.1%, gray: 23.6%"
images(241).jpg,26.64,8,"white, brown, gray","white: 66.0%, brown: 10.8%, gray: 9.0%"
images(242).jpg,35.92,7,"gray, gray, gray","gray: 30.5%, gray: 24.0%, gray: 21.0%"
images(243).jpg,125.54,2,"gray, gray, maroon","gray: 29.8%, gray: 28.0%, maroon: 18.2%"
images(244).jpg,12.57,47,"gray, gray, brown","gray: 29.1%, gray: 25.4%, brown: 22.9%"
images(245).jpg,84.04,3,"gray, gray, gray","gray: 26.7%, gray: 21.7%, gray: 21.4%"
