filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
Basalt mix.jpg,37.59,14,"gray, black, white","gray: 30.9%, black: 21.7%, white: 18.2%"
basalt-columns.jpg,72.69,4,"gray, gray, gray","gray: 23.4%, gray: 22.6%, gray: 20.7%"
Basalt-Lava-Rock-Vivarium-Guide-768x568.jpg,744.11,1,"black, black, gray","black: 47.0%, black: 23.7%, gray: 16.5%"
basalt-texture.jpg,8.77,97,"gray, gray, gray","gray: 29.0%, gray: 25.7%, gray: 22.3%"
BasaltOlivinePheno.jpg,24.35,30,"gray, gray, gray","gray: 44.2%, gray: 21.5%, gray: 15.6%"
BasaltOlivinePhenoCUp.jpg,574.03,1,"gray, gray, gray","gray: 39.1%, gray: 25.3%, gray: 17.2%"
below-tumbling-grade-basalt-lg.jpg,93.03,19,"brown, gray, gray","brown: 35.7%, gray: 21.9%, gray: 18.7%"
c0046667-800px-wm.jpg,244.26,3,"black, gray, brown","black: 30.5%, gray: 25.0%, brown: 22.3%"
can-stock-photo_csp10523025.jpg,27.37,16,"white, brown, gray","white: 59.1%, brown: 15.9%, gray: 13.8%"
collection-small-rock-isolated-white-background_70287-3572.jpg,21.19,10,"white, gray, gray","white: 91.8%, gray: 2.2%, gray: 2.2%"
gettyimages-1127177629-612x612.jpg,43.78,12,"black, navy, gray","black: 28.4%, navy: 22.0%, gray: 19.0%"
gettyimages-865515424-612x612.jpg,31.99,20,"gray, gray, gray","gray: 23.1%, gray: 22.2%, gray: 21.4%"
images.jpg,83.6,3,"black, gray, gray","black: 24.4%, gray: 22.4%, gray: 21.4%"
istockphoto-184659485-612x612.jpg,49.18,7,"white, gray, black","white: 65.7%, gray: 10.3%, black: 9.5%"
Ornament-Basalt-Rock-X-small-14x7x6.7cm-37152XS-JPG.jpg,16.05,128,"white, gray, gray","white: 67.7%, gray: 13.1%, gray: 8.8%"
P1020339.jpg,38.41,14,"gray, gray, black","gray: 28.2%, gray: 23.4%, black: 19.0%"
piece-raw-gray-hyalobasalt-rock-isolated-closeup-sample-natural-mineral-geological-collection-white-background-170798111.jpg,19.43,151,"white, gray, black","white: 53.3%, gray: 15.9%, black: 13.6%"
piilonen09-10.jpg,146.44,3,"gray, white, gray","gray: 31.6%, white: 24.3%, gray: 23.5%"
rosen-kazlachev-full.jpg,396.28,5,"gray, black, black","gray: 29.0%, black: 25.5%, black: 20.2%"
rosetta-stone.jpg,255.53,1,"black, gray, gray","black: 27.4%, gray: 27.2%, gray: 19.8%"
Scoria-from-Etna.jpg,88.52,7,"white, black, brown","white: 30.7%, black: 24.8%, brown: 19.3%"
unnamed.jpg,31.57,12,"gray, gray, gray","gray: 34.0%, gray: 29.4%, gray: 22.8%"
unpolished-gray-basalt-rock-cutout-on-white-background-2AXX13J.jpg,18.31,125,"white, navy, gray","white: 55.5%, navy: 13.9%, gray: 12.8%"
Vesicular-and-Amygdaloidal-Textures.jpg,15.58,61,"gray, gray, gray","gray: 35.5%, gray: 26.5%, gray: 16.5%"
