filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
160.jpg,21.2,73,"gray, white, gray","gray: 29.4%, white: 27.7%, gray: 20.9%"
161.jpg,12.61,68,"gray, gray, white","gray: 38.1%, gray: 27.3%, white: 17.8%"
162.jpg,12.26,104,"white, white, gray","white: 32.5%, white: 30.4%, gray: 14.4%"
163.jpg,23.5,35,"white, gray, gray","white: 37.2%, gray: 18.1%, gray: 16.1%"
164.jpg,10.91,185,"white, gray, white","white: 31.6%, gray: 23.1%, white: 19.9%"
165.jpg,10.56,134,"white, white, gray","white: 30.5%, white: 27.4%, gray: 22.4%"
166.jpg,10.35,104,"white, white, gray","white: 34.1%, white: 28.3%, gray: 21.9%"
167.jpg,43.43,15,"white, brown, gray","white: 49.4%, brown: 14.4%, gray: 14.3%"
168.jpg,12.68,114,"gray, gray, gray","gray: 30.5%, gray: 25.3%, gray: 22.5%"
169.jpg,26.84,24,"black, black, gray","black: 23.4%, black: 22.5%, gray: 19.0%"
17.jpg,29.51,47,"gray, gray, white","gray: 26.6%, gray: 21.3%, white: 20.1%"
170.jpg,10.2,88,"gray, white, gray","gray: 28.2%, white: 21.7%, gray: 21.4%"
171.jpg,33.75,33,"gray, gray, gray","gray: 39.6%, gray: 22.0%, gray: 19.5%"
172.jpg,13.9,142,"gray, gray, white","gray: 27.7%, gray: 23.5%, white: 19.9%"
173.jpg,11.15,203,"gray, white, gray","gray: 26.4%, white: 21.1%, gray: 19.6%"
174.jpg,12.47,89,"gray, gray, gray","gray: 28.4%, gray: 19.3%, gray: 19.1%"
175.jpg,8.8,8,"white, white, white","white: 56.1%, white: 18.2%, white: 16.3%"
176.jpg,12.16,37,"white, white, gray","white: 33.2%, white: 33.0%, gray: 19.5%"
177.jpg,16.92,19,"white, gray, white","white: 69.9%, gray: 10.8%, white: 10.7%"
178.jpg,11.9,22,"white, white, white","white: 46.0%, white: 22.1%, white: 19.0%"
179.jpg,13.81,61,"white, white, gray","white: 39.2%, white: 32.7%, gray: 16.7%"
18.jpg,8.18,90,"white, gray, gray","white: 60.0%, gray: 13.8%, gray: 11.6%"
180.jpg,11.29,100,"gray, gray, white","gray: 28.4%, gray: 24.2%, white: 19.1%"
181.jpg,12.06,154,"gray, white, gray","gray: 30.4%, white: 25.9%, gray: 24.0%"
182.jpg,14.05,114,"white, white, gray","white: 41.2%, white: 26.4%, gray: 12.7%"
183.jpg,26.95,25,"gray, gray, gray","gray: 26.0%, gray: 25.1%, gray: 18.5%"
184.jpg,20.89,75,"gray, white, brown","gray: 32.7%, white: 29.9%, brown: 13.2%"
185.jpg,23.13,52,"gray, white, black","gray: 35.6%, white: 31.8%, black: 12.8%"
186.jpg,9.68,105,"gray, white, gray","gray: 35.6%, white: 21.8%, gray: 19.9%"
187.jpg,27.28,37,"white, gray, gray","white: 30.5%, gray: 27.9%, gray: 22.3%"
188.jpg,11.67,182,"gray, gray, gray","gray: 28.5%, gray: 24.9%, gray: 19.5%"
189.jpg,11.67,182,"gray, gray, gray","gray: 28.5%, gray: 24.9%, gray: 19.5%"
19.jpg,17.68,41,"white, white, gray","white: 36.0%, white: 31.7%, gray: 12.8%"
190.jpg,46.92,14,"gray, gray, white","gray: 35.5%, gray: 19.8%, white: 16.6%"
191.jpg,10.33,91,"white, white, gray","white: 54.8%, white: 21.3%, gray: 15.2%"
192.jpg,16.41,46,"cyan, white, gray","cyan: 34.7%, white: 23.5%, gray: 18.6%"
193.jpg,21.32,59,"white, white, gray","white: 29.2%, white: 28.9%, gray: 16.4%"
194.jpg,14.81,72,"gray, gray, gray","gray: 36.6%, gray: 34.0%, gray: 17.2%"
195.jpg,15.81,62,"gray, white, gray","gray: 30.4%, white: 29.5%, gray: 16.8%"
196.jpg,13.16,135,"gray, white, gray","gray: 30.5%, white: 24.5%, gray: 20.6%"
197.jpg,32.65,20,"gray, brown, gray","gray: 28.4%, brown: 24.0%, gray: 21.4%"
198.jpg,7.88,184,"gray, gray, white","gray: 31.5%, gray: 23.0%, white: 20.3%"
199.jpg,11.3,133,"white, gray, gray","white: 35.7%, gray: 31.6%, gray: 12.9%"
2.jpg,15.95,72,"gray, gray, gray","gray: 30.1%, gray: 29.0%, gray: 18.6%"
20.jpg,9.94,469,"white, gray, gray","white: 57.4%, gray: 16.6%, gray: 13.9%"
200.jpg,543.57,1,"brown, gray, black","brown: 24.7%, gray: 22.8%, black: 21.0%"
201.jpg,10.01,221,"gray, gray, white","gray: 30.4%, gray: 25.3%, white: 18.1%"
202.jpg,14.11,89,"gray, gray, brown","gray: 27.0%, gray: 25.6%, brown: 22.6%"
203.jpg,15.79,99,"brown, gray, white","brown: 28.0%, gray: 26.4%, white: 18.3%"
204.jpg,8.61,25,"white, white, white","white: 55.1%, white: 16.5%, white: 13.2%"
205.jpg,16.15,101,"gray, gray, gray","gray: 30.8%, gray: 25.7%, gray: 18.7%"
206.jpg,17.84,139,"gray, white, gray","gray: 28.4%, white: 28.0%, gray: 19.6%"
207.jpg,9.04,344,"gray, gray, gray","gray: 28.2%, gray: 25.5%, gray: 17.7%"
208.jpg,15.07,98,"gray, gray, white","gray: 26.9%, gray: 25.4%, white: 20.0%"
209.jpg,67.11,11,"white, black, orange","white: 24.9%, black: 22.7%, orange: 18.1%"
21.jpeg,19.31,133,"white, white, gray","white: 33.2%, white: 28.8%, gray: 19.8%"
210.jpg,16.27,82,"white, gray, gray","white: 35.3%, gray: 20.3%, gray: 19.2%"
211.jpg,25.05,37,"gray, white, gray","gray: 24.3%, white: 24.1%, gray: 22.7%"
212.jpg,15.31,74,"gray, gray, gray","gray: 30.4%, gray: 22.4%, gray: 17.7%"
213.jpg,16.03,95,"gray, gray, gray","gray: 30.8%, gray: 25.4%, gray: 22.3%"
214.jpg,13.06,128,"white, gray, gray","white: 26.7%, gray: 23.0%, gray: 19.7%"
215.jpg,11.76,188,"gray, gray, gray","gray: 24.7%, gray: 23.0%, gray: 22.1%"
216.jpg,15.26,51,"gray, gray, white","gray: 26.9%, gray: 25.4%, white: 19.4%"
217.jpg,57.18,3,"white, white, white","white: 56.1%, white: 32.5%, white: 5.2%"
218.jpg,13.62,85,"gray, gray, gray","gray: 25.6%, gray: 25.3%, gray: 20.4%"
219.jpg,9.26,411,"gray, white, gray","gray: 26.4%, white: 24.8%, gray: 24.3%"
22.jpg,12.86,102,"brown, gray, white","brown: 27.3%, gray: 23.0%, white: 19.8%"
220.jpg,19.68,32,"gray, white, white","gray: 27.0%, white: 22.6%, white: 20.8%"
221.jpg,9.97,365,"gray, white, gray","gray: 30.7%, white: 25.4%, gray: 21.5%"
222.jpg,35.06,21,"gray, gray, gray","gray: 27.5%, gray: 21.7%, gray: 21.0%"
223.jpg,10.78,177,"gray, white, gray","gray: 29.8%, white: 26.7%, gray: 23.2%"
224.jpg,12.29,84,"gray, white, gray","gray: 32.4%, white: 30.3%, gray: 20.8%"
225.jpg,22.06,47,"gray, gray, white","gray: 37.6%, gray: 24.9%, white: 20.8%"
226.jpg,25.45,35,"gray, gray, gray","gray: 33.6%, gray: 26.8%, gray: 14.6%"
227.jpg,25.45,35,"gray, gray, gray","gray: 33.6%, gray: 26.8%, gray: 14.6%"
228.jpg,126.22,17,"gray, white, gray","gray: 30.6%, white: 23.3%, gray: 20.5%"
229.jpg,18.42,88,"white, gray, gray","white: 27.4%, gray: 26.2%, gray: 20.0%"
23.jpg,27.94,7,"gray, white, gray","gray: 30.9%, white: 23.7%, gray: 23.4%"
230.jpg,20.65,21,"white, white, gray","white: 75.0%, white: 9.6%, gray: 6.5%"
231.jpg,10.24,65,"white, gray, gray","white: 73.7%, gray: 9.5%, gray: 7.0%"
232.jpg,36.14,22,"gray, gray, gray","gray: 28.3%, gray: 24.1%, gray: 20.5%"
233.jpg,13.94,85,"gray, gray, gray","gray: 29.1%, gray: 25.7%, gray: 25.1%"
234.jpg,14.29,111,"white, gray, white","white: 45.1%, gray: 18.6%, white: 15.2%"
235.jpg,9.14,192,"gray, gray, gray","gray: 34.7%, gray: 32.2%, gray: 12.8%"
236.jpg,19.91,2,"white, white, white","white: 68.8%, white: 15.8%, white: 12.6%"
237.jpg,13.86,32,"gray, gray, white","gray: 35.9%, gray: 23.0%, white: 20.5%"
238.jpeg,17.83,22,"gray, gray, white","gray: 40.8%, gray: 24.2%, white: 17.8%"
239.jpg,735.67,1,"black, gray, gray","black: 39.7%, gray: 22.6%, gray: 16.1%"
24.jpg,393.98,1,"white, black, gray","white: 70.9%, black: 10.2%, gray: 7.6%"
240.jpg,735.67,1,"black, gray, white","black: 70.3%, gray: 10.1%, white: 7.6%"
241.jpg,746.65,1,"black, maroon, gray","black: 70.7%, maroon: 8.9%, gray: 8.2%"
242.jpg,15.53,36,"white, gray, gray","white: 37.2%, gray: 20.1%, gray: 15.7%"
243.jpg,45.67,11,"white, gray, gray","white: 48.7%, gray: 19.1%, gray: 12.3%"
244.jpg,14.07,60,"white, gray, gray","white: 39.3%, gray: 26.2%, gray: 16.3%"
245.jpg,9.87,81,"white, gray, gray","white: 79.8%, gray: 6.4%, gray: 6.1%"
246.jpg,13.88,64,"white, gray, gray","white: 77.5%, gray: 7.5%, gray: 6.2%"
247.jpg,11.96,26,"white, gray, gray","white: 79.3%, gray: 10.4%, gray: 5.2%"
248.jpg,306.65,1,"white, gray, black","white: 80.8%, gray: 7.2%, black: 5.0%"
249.jpg,22.27,49,"darkgreen, black, gray","darkgreen: 25.6%, black: 23.0%, gray: 22.8%"
25.jpg,19.94,19,"gray, white, gray","gray: 35.7%, white: 22.9%, gray: 22.5%"
250.jpg,22.27,49,"darkgreen, black, gray","darkgreen: 25.6%, black: 23.0%, gray: 22.8%"
251.jpg,49.23,6,"white, gray, gray","white: 83.4%, gray: 6.5%, gray: 4.7%"
252.jpg,39.25,9,"white, brown, black","white: 78.9%, brown: 7.5%, black: 6.8%"
253.jpg,15.97,33,"white, gray, gray","white: 72.5%, gray: 10.2%, gray: 8.6%"
254.jpg,10.28,59,"white, gray, gray","white: 76.9%, gray: 9.0%, gray: 5.6%"
255.jpg,11.97,212,"gray, gray, gray","gray: 28.9%, gray: 28.9%, gray: 15.4%"
256.jpg,23.28,21,"white, black, gray","white: 76.4%, black: 8.6%, gray: 6.4%"
257.jpg,11.2,91,"white, gray, gray","white: 70.1%, gray: 10.1%, gray: 8.6%"
258.jpg,9.91,730,"gray, brown, gray","gray: 26.3%, brown: 25.7%, gray: 19.2%"
259.jpg,15.99,22,"white, gray, gray","white: 39.9%, gray: 21.8%, gray: 20.0%"
26.jpg,12.12,256,"gray, gray, white","gray: 26.2%, gray: 25.8%, white: 25.6%"
260.jpg,11.43,385,"navy, gray, white","navy: 28.3%, gray: 20.8%, white: 19.2%"
261.png,27.94,9,"white, gray, gray","white: 55.6%, gray: 12.6%, gray: 12.1%"
262.jpg,23.79,239,"white, gray, gray","white: 41.9%, gray: 28.6%, gray: 14.4%"
263.png,287.74,1,"white, gray, gray","white: 27.8%, gray: 25.2%, gray: 20.1%"
264.jpg,20.11,6,"white, white, gray","white: 63.3%, white: 12.5%, gray: 10.1%"
265.jpg,11.72,155,"white, gray, white","white: 50.0%, gray: 16.6%, white: 16.3%"
266.jpg,735.67,1,"black, black, white","black: 40.6%, black: 28.2%, white: 19.1%"
267.jpg,735.67,1,"black, black, white","black: 40.6%, black: 28.2%, white: 19.1%"
268.jpg,780.62,1,"black, white, white","black: 57.6%, white: 18.3%, white: 10.0%"
269.jpg,780.62,1,"black, black, white","black: 35.7%, black: 31.2%, white: 15.8%"
27.jpg,33.42,11,"white, gray, gray","white: 82.8%, gray: 6.2%, gray: 5.7%"
270.jpg,780.62,1,"black, black, gray","black: 40.7%, black: 36.2%, gray: 8.5%"
271.jpg,10.56,110,"white, white, gray","white: 54.7%, white: 16.0%, gray: 14.9%"
272.jpg,780.62,1,"black, black, gray","black: 46.9%, black: 30.0%, gray: 8.8%"
273.jpg,780.62,1,"black, black, gray","black: 46.9%, black: 30.0%, gray: 8.8%"
274.jpg,14.92,53,"white, white, gray","white: 63.3%, white: 11.5%, gray: 9.4%"
275.jpg,12.16,34,"white, gray, gray","white: 67.8%, gray: 14.8%, gray: 9.1%"
276.jpg,8.18,48,"white, gray, gray","white: 76.6%, gray: 8.6%, gray: 6.8%"
277.jpg,8.02,152,"white, white, gray","white: 38.8%, white: 31.6%, gray: 18.7%"
278.jpg,8.52,160,"white, white, gray","white: 60.8%, white: 12.9%, gray: 12.5%"
279.jpg,9.54,262,"white, white, gray","white: 60.8%, white: 12.6%, gray: 12.4%"
28.jpg,16.25,92,"white, gray, gray","white: 30.2%, gray: 25.5%, gray: 21.7%"
280.jpeg,15.95,88,"white, white, gray","white: 35.2%, white: 23.0%, gray: 18.3%"
281.jpg,21.39,54,"gray, gray, gray","gray: 37.4%, gray: 23.4%, gray: 18.6%"
282.jpg,14.84,100,"gray, gray, gray","gray: 34.1%, gray: 27.4%, gray: 17.9%"
283.jpg,14.84,100,"gray, gray, gray","gray: 34.1%, gray: 27.4%, gray: 17.9%"
284.jpg,13.02,64,"white, gray, gray","white: 79.9%, gray: 10.1%, gray: 4.8%"
285.jpg,15.87,93,"gray, gray, gray","gray: 23.4%, gray: 22.2%, gray: 19.8%"
286.jpg,12.36,60,"white, gray, gray","white: 54.6%, gray: 19.4%, gray: 14.8%"
287.jpg,22.34,37,"gray, white, gray","gray: 26.9%, white: 24.1%, gray: 19.5%"
288.jpg,14.69,146,"white, white, gray","white: 37.3%, white: 32.3%, gray: 15.7%"
289.jpg,16.69,52,"gray, white, gray","gray: 39.1%, white: 20.6%, gray: 18.3%"
29.jpg,22.78,32,"white, gray, gray","white: 25.0%, gray: 24.2%, gray: 22.9%"
290.jpg,15.93,75,"white, white, gray","white: 36.2%, white: 18.9%, gray: 18.3%"
292.jpg,16.88,95,"brown, black, gray","brown: 31.8%, black: 28.0%, gray: 16.1%"
293.jpg,15.79,105,"black, gray, brown","black: 26.2%, gray: 22.1%, brown: 22.0%"
294.jpg,10.96,120,"white, white, gray","white: 37.4%, white: 34.3%, gray: 18.2%"
295.jpg,11.16,238,"white, gray, gray","white: 28.0%, gray: 28.0%, gray: 17.7%"
296.jpg,13.26,216,"gray, white, gray","gray: 27.9%, white: 23.3%, gray: 21.2%"
297.jpg,780.62,1,"black, black, gray","black: 44.6%, black: 18.0%, gray: 16.2%"
298.jpg,4.29,2,"white, white, white","white: 30.2%, white: 26.2%, white: 21.6%"
299.jpg,4.29,2,"white, white, white","white: 30.2%, white: 26.2%, white: 21.6%"
30.jpg,16.9,62,"white, white, gray","white: 40.9%, white: 31.9%, gray: 17.1%"
300.jpg,4.29,2,"white, white, white","white: 30.2%, white: 26.2%, white: 21.6%"
301.jpg,7.04,24,"white, white, white","white: 49.3%, white: 26.4%, white: 13.1%"
302.jpg,8.21,540,"gray, gray, gray","gray: 51.3%, gray: 20.7%, gray: 20.6%"
303.jpg,25.49,22,"white, gray, gray","white: 65.8%, gray: 12.1%, gray: 10.2%"
304.jpg,45.82,9,"white, gray, gray","white: 72.3%, gray: 11.1%, gray: 8.1%"
305.jpg,9.79,62,"white, gray, gray","white: 75.8%, gray: 8.2%, gray: 6.9%"
306.jpg,9.93,86,"white, gray, gray","white: 76.5%, gray: 9.6%, gray: 7.8%"
