filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
1 (373).jpg,49.07,6,"black, black, gray","black: 31.0%, black: 24.0%, gray: 17.3%"
1 (374).jpg,22.74,13,"gray, gray, gray","gray: 30.5%, gray: 25.9%, gray: 19.2%"
1 (375).jpg,10.61,24,"gray, white, gray","gray: 34.3%, white: 29.4%, gray: 20.7%"
1 (376).jpg,7.9,1,"white, white, white","white: 87.6%, white: 5.3%, white: 4.4%"
1 (377).jpg,7.51,13,"white, white, gray","white: 25.9%, white: 24.9%, gray: 24.6%"
1 (378).jpg,252.38,1,"black, maroon, gray","black: 31.7%, maroon: 29.8%, gray: 21.2%"
1 (379).jpg,250.64,1,"black, gray, black","black: 25.1%, gray: 22.6%, black: 20.6%"
1 (38).jpg,15.62,11,"white, gray, gray","white: 50.1%, gray: 27.0%, gray: 12.3%"
1 (380).jpg,6.93,12,"white, white, gray","white: 61.0%, white: 21.4%, gray: 12.8%"
1 (381).jpg,15.81,14,"gray, gray, gray","gray: 24.3%, gray: 22.3%, gray: 22.1%"
1 (382).jpg,13.4,26,"gray, gray, gray","gray: 27.3%, gray: 26.2%, gray: 17.7%"
1 (383).jpg,7.57,7,"white, white, gray","white: 59.9%, white: 14.4%, gray: 11.8%"
1 (384).jpg,43.34,6,"gray, black, gray","gray: 26.6%, black: 22.2%, gray: 19.3%"
1 (385).jpg,30.94,9,"gray, black, gray","gray: 32.8%, black: 22.3%, gray: 18.9%"
1 (387).jpg,9.94,23,"gray, gray, gray","gray: 28.8%, gray: 27.2%, gray: 18.6%"
1 (388).jpg,11.14,28,"gray, gray, white","gray: 36.7%, gray: 25.7%, white: 18.0%"
1 (389).jpg,10.52,18,"white, white, gray","white: 57.9%, white: 13.8%, gray: 12.5%"
1 (39).jpg,28.12,8,"white, gray, gray","white: 36.4%, gray: 24.6%, gray: 15.1%"
1 (390).jpg,155.17,1,"white, black, gray","white: 40.3%, black: 24.5%, gray: 18.1%"
1 (391).jpg,0,0,"white, white, white","white: 36.3%, white: 20.3%, white: 17.4%"
1 (392).jpg,0,0,"gray, gray, gray","gray: 31.7%, gray: 31.4%, gray: 18.0%"
1 (393).jpg,13.33,28,"gray, gray, brown","gray: 32.0%, gray: 22.8%, brown: 22.2%"
1 (394).jpg,10.14,44,"gray, gray, gray","gray: 27.0%, gray: 23.1%, gray: 22.2%"
1 (395).jpg,6.86,32,"white, gray, gray","white: 45.0%, gray: 21.0%, gray: 14.3%"
1 (396).jpg,52.07,6,"gray, gray, gray","gray: 29.7%, gray: 27.6%, gray: 23.1%"
1 (397).jpg,6.16,8,"white, white, white","white: 46.5%, white: 29.3%, white: 14.6%"
1 (398).jpg,8.11,9,"white, white, white","white: 66.9%, white: 26.6%, white: 4.9%"
1 (399).jpg,15.58,22,"gray, gray, gray","gray: 27.4%, gray: 26.0%, gray: 18.3%"
1 (4).jpg,14.22,9,"white, white, gray","white: 72.5%, white: 10.6%, gray: 9.4%"
1 (40).jpg,23.8,12,"gray, gray, gray","gray: 28.1%, gray: 27.8%, gray: 18.2%"
1 (400).jpg,6.82,14,"white, white, white","white: 43.4%, white: 26.1%, white: 12.1%"
1 (401).jpg,8.47,11,"white, white, white","white: 55.1%, white: 16.4%, white: 15.4%"
