filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
68.jpg,15.13,30,"gray, white, gray","gray: 33.5%, white: 23.3%, gray: 20.0%"
69.png,12.58,160,"white, white, maroon","white: 26.1%, white: 25.7%, maroon: 20.4%"
7.jpg,12.52,109,"gray, gray, gray","gray: 31.6%, gray: 25.3%, gray: 21.1%"
70.jpg,22.05,80,"gray, gray, gray","gray: 25.1%, gray: 23.9%, gray: 21.1%"
71.jpg,10.88,1047,"gray, white, gray","gray: 27.1%, white: 21.7%, gray: 20.4%"
72.jpg,11.29,786,"white, gray, gray","white: 32.4%, gray: 22.0%, gray: 19.0%"
73.JPEG,15.57,40,"white, black, gray","white: 49.2%, black: 14.7%, gray: 12.7%"
74.JPEG,22.53,31,"white, black, gray","white: 31.3%, black: 19.8%, gray: 19.1%"
75.JPEG,12.44,59,"white, gray, gray","white: 39.6%, gray: 23.3%, gray: 19.1%"
76.JPEG,42.81,11,"brown, black, gray","brown: 31.6%, black: 23.7%, gray: 18.3%"
77.JPEG,39.79,9,"white, gray, gray","white: 66.1%, gray: 10.2%, gray: 9.1%"
78.JPEG,12.44,59,"white, gray, gray","white: 39.6%, gray: 23.3%, gray: 19.1%"
79.JPEG,11.57,89,"white, gray, gray","white: 65.8%, gray: 10.7%, gray: 9.9%"
8.jpg,12.26,36,"white, gray, gray","white: 53.1%, gray: 16.4%, gray: 13.1%"
80.JPEG,7.99,203,"white, white, gray","white: 52.4%, white: 18.1%, gray: 15.2%"
81.JPEG,9.17,150,"gray, gray, gray","gray: 26.0%, gray: 25.4%, gray: 19.8%"
82.JPEG,36.66,18,"black, black, gray","black: 37.7%, black: 31.5%, gray: 17.1%"
83.JPEG,77.49,8,"black, gray, gray","black: 29.1%, gray: 28.2%, gray: 21.0%"
84.JPEG,65.67,9,"black, brown, gray","black: 33.7%, brown: 29.2%, gray: 20.5%"
85.JPEG,11.24,68,"white, gray, white","white: 63.3%, gray: 12.7%, white: 10.1%"
86.JPEG,49.77,13,"brown, black, gray","brown: 33.9%, black: 29.0%, gray: 21.7%"
87.png,43.7,32,"black, black, gray","black: 31.7%, black: 20.5%, gray: 20.4%"
88.jpg,13.68,282,"gray, gray, gray","gray: 23.9%, gray: 22.4%, gray: 18.7%"
89.jpg,233.56,1,"white, navy, black","white: 51.8%, navy: 20.4%, black: 15.8%"
